prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
3,0.016642211,0.008914476,0.0077277347
47,0.014847435,0.007161181,0.007686254
15,0.0129149575,0.005836945,0.0070780125
27,0.012697301,0.005651178,0.007046123
97,0.01729457,0.010459186,0.006835385
118,0.0040529235,0.0107892025,-0.006736279
25,0.012943395,0.006411131,0.0065322644
72,0.0031852291,0.009375274,-0.006190045
12,0.006535982,0.011905398,-0.0053694164
106,0.007170214,0.012451616,-0.0052814023
117,0.009962257,0.004693801,0.005268456
92,0.013954134,0.009010014,0.0049441196
68,0.011166538,0.00626282,0.004903718
81,0.014977266,0.010173222,0.004804044
121,0.0037426006,0.0085218595,-0.0047792587
24,0.010682487,0.005957973,0.0047245137
85,0.00548473,0.010164884,-0.004680154
4,0.004886091,0.009551538,-0.004665447
120,0.012146657,0.007527096,0.004619561
43,0.004349214,0.0088221645,-0.0044729505
22,0.003138177,0.007610748,-0.004472571
109,0.005092914,0.00940476,-0.0043118456
29,0.0042662807,0.008577954,-0.0043116733
13,0.010095333,0.0059762383,0.0041190945
100,0.00987845,0.005817554,0.004060896
110,0.011500753,0.0074549676,0.004045786
79,0.0043875575,0.008357689,-0.0039701313
124,0.0056061046,0.009212475,-0.0036063707
45,0.006922559,0.010492282,-0.003569723
66,0.010316379,0.00677363,0.0035427492
60,0.0048527233,0.008353884,-0.003501161
37,0.010003596,0.0065591577,0.0034444379
127,0.010437459,0.0070253215,0.0034121373
2,0.003673153,0.006916051,-0.0032428978
33,0.0037732401,0.0069441656,-0.0031709254
80,0.0069798077,0.010140303,-0.0031604948
7,0.005327206,0.008387217,-0.0030600112
89,0.004978124,0.008027195,-0.003049071
116,0.0069796382,0.009975036,-0.0029953974
28,0.008548088,0.011455023,-0.0029069344
59,0.010145789,0.007245883,0.0028999061
6,0.003596998,0.0064017647,-0.0028047666
41,0.010067242,0.007372452,0.0026947903
76,0.0042590513,0.0069148857,-0.0026558344
73,0.006428663,0.009074871,-0.0026462083
56,0.0050203046,0.0076003238,-0.0025800192
8,0.007239891,0.00467874,0.002561151
35,0.008565093,0.006018951,0.0025461423
