prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
91,0.011249022,0.0051255105,0.006123511
116,0.0069911084,0.012988437,-0.0059973286
29,0.010268435,0.004549248,0.0057191867
20,0.0053963074,0.011058053,-0.0056617456
3,0.01248644,0.0069075613,0.005578879
109,0.0064566843,0.011859423,-0.005402738
23,0.0064771934,0.011660159,-0.005182965
101,0.008690757,0.004208222,0.0044825347
43,0.00994481,0.005524827,0.0044199824
47,0.01022735,0.0058452026,0.004382147
12,0.0092335995,0.013565295,-0.004331696
73,0.010327616,0.006301476,0.0040261396
17,0.0074567483,0.003464538,0.00399221
28,0.009341799,0.013285599,-0.0039438
83,0.007847924,0.0039068717,0.003941052
104,0.008325386,0.012261549,-0.003936163
31,0.004142027,0.007827862,-0.0036858353
2,0.0049083685,0.008469306,-0.0035609375
44,0.00784124,0.0113236,-0.0034823604
59,0.006278675,0.00971819,-0.003439515
54,0.007341989,0.004013709,0.00332828
18,0.008153793,0.0049063996,0.0032473938
15,0.008329251,0.0050880685,0.0032411823
39,0.009556704,0.0063603506,0.0031963536
74,0.010013638,0.013207334,-0.003193696
50,0.008960587,0.005840266,0.0031203208
37,0.008362481,0.0053694085,0.0029930728
97,0.012800544,0.009827551,0.0029729921
119,0.0050650295,0.007983598,-0.0029185684
117,0.006746008,0.0038609146,0.0028850934
95,0.006693224,0.009567113,-0.0028738887
19,0.007887987,0.005034994,0.0028529936
118,0.008534513,0.011337989,-0.0028034756
78,0.010687247,0.007888394,0.0027988525
86,0.007833975,0.010534926,-0.002700951
89,0.0064278753,0.009084555,-0.00265668
55,0.0062303524,0.008879027,-0.0026486749
36,0.008726475,0.0062119183,0.0025145565
71,0.013071667,0.0105637,0.002507967
87,0.008586058,0.011035597,-0.0024495386
58,0.007678724,0.010099382,-0.0024206582
122,0.007813052,0.005405254,0.002407798
125,0.00964723,0.007255861,0.0023913686
81,0.011929536,0.009574481,0.002355055
0,0.007359758,0.005014947,0.0023448109
96,0.008682466,0.0063484367,0.0023340294
14,0.00850825,0.006186199,0.0023220512
5,0.008397342,0.0061341953,0.0022631465
79,0.0067774174,0.009032561,-0.002255144
56,0.0081151575,0.005883902,0.0022312556
21,0.009358842,0.011560014,-0.0022011725
