prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
105,0.02070736,0.010761933,0.009945426
39,0.014834635,0.0069537177,0.007880917
100,0.012192193,0.0053731054,0.006819088
106,0.0066361697,0.012554201,-0.0059180316
42,0.011824721,0.0061186813,0.0057060393
78,0.004801494,0.010426326,-0.0056248317
101,0.011465879,0.0059290775,0.0055368016
116,0.0048508914,0.010383949,-0.0055330573
74,0.006818992,0.012215125,-0.0053961333
81,0.015257711,0.010119351,0.00513836
72,0.0043538846,0.009150786,-0.0047969017
83,0.010084136,0.005458975,0.004625161
22,0.00311394,0.0076154037,-0.004501464
125,0.012206016,0.007966782,0.004239234
85,0.005997183,0.010066445,-0.004069262
91,0.012103943,0.008040342,0.0040636016
119,0.0029511435,0.0069221277,-0.0039709844
43,0.004958298,0.008705164,-0.0037468662
88,0.0052600275,0.008960533,-0.0037005055
79,0.010695045,0.007146081,0.003548964
67,0.009606986,0.006076333,0.0035306532
37,0.0100696655,0.006546466,0.0035231994
58,0.011634665,0.008122317,0.003512348
122,0.0039434037,0.007359277,-0.0034158733
121,0.010594745,0.007205628,0.0033891173
16,0.008845554,0.005478425,0.0033671288
28,0.008181031,0.011525531,-0.0033445004
75,0.004441131,0.007785429,-0.0033442979
30,0.011975178,0.008655897,0.0033192802
86,0.006228505,0.009485218,-0.0032567126
15,0.0043857927,0.0074753147,-0.003089522
19,0.0041782386,0.007182157,-0.0030039186
41,0.010185863,0.0073496667,0.0028361962
109,0.006365532,0.009160302,-0.0027947696
80,0.011949555,0.009185661,0.0027638944
51,0.009114005,0.0063827145,0.0027312902
115,0.0042411336,0.006961527,-0.0027203932
87,0.007362874,0.01003887,-0.0026759962
1,0.009530578,0.0068607256,0.0026698522
120,0.010487816,0.007845743,0.0026420737
7,0.00571535,0.008312658,-0.0025973083
92,0.0076387404,0.01022314,-0.0025843997
110,0.0059870034,0.008514106,-0.0025271028
84,0.006703387,0.0091727385,-0.0024693515
107,0.0040219384,0.006453271,-0.0024313326
96,0.005675476,0.0080996575,-0.0024241814
34,0.008517228,0.006128262,0.0023889663
113,0.0043225638,0.006704643,-0.0023820791
126,0.0042560985,0.0065526045,-0.002296506
117,0.007467388,0.0051730415,0.0022943467
65,0.003517252,0.005768737,-0.002251485
2,0.004509359,0.006755424,-0.002246065
114,0.007144049,0.009209467,-0.0020654183
76,0.0047571505,0.006819206,-0.0020620553
124,0.010340254,0.008303089,0.0020371648
123,0.0061031478,0.008061926,-0.0019587781
99,0.007577323,0.009535532,-0.0019582096
53,0.007013717,0.005070611,0.0019431063
55,0.0057222415,0.00764481,-0.0019225683
60,0.009394296,0.0074814907,0.0019128057
8,0.0066712946,0.0047879624,0.0018833322
61,0.012191784,0.010365728,0.0018260553
71,0.013539395,0.011734923,0.001804472
45,0.008432385,0.010202261,-0.0017698761
54,0.004476842,0.006237617,-0.0017607752
112,0.007708085,0.0059749964,0.0017330884
118,0.008326925,0.009968209,-0.0016412837
93,0.004452692,0.0060128956,-0.0015602037
104,0.0087004155,0.010210311,-0.0015098955
94,0.007911183,0.0064087184,0.0015024645
26,0.009487615,0.007994357,0.0014932584
4,0.010031457,0.008563165,0.0014682924
0,0.007597776,0.006148255,0.0014495212
63,0.009312145,0.007870848,0.0014412971
23,0.009762253,0.008423006,0.0013392465
59,0.008783013,0.0075076595,0.0012753531
3,0.009093602,0.0103644915,-0.0012708893
11,0.008708291,0.0074536935,0.0012545972
56,0.008221915,0.0069853254,0.0012365896
64,0.009759931,0.008576062,0.0011838693
25,0.006492459,0.0076502925,-0.0011578333
82,0.0084998,0.0073594986,0.0011403016
31,0.006626883,0.0054972153,0.0011296677
98,0.0053583356,0.0064790673,-0.0011207317
38,0.008431167,0.009551697,-0.0011205301
103,0.0057665883,0.006855621,-0.0010890327
50,0.008533714,0.007491239,0.0010424755
62,0.009128402,0.008110332,0.0010180697
9,0.009771873,0.008806192,0.0009656809
12,0.011808028,0.010892686,0.000915342
57,0.008249252,0.009153557,-0.0009043049
48,0.007833145,0.0069415844,0.0008915602
73,0.007907642,0.008790772,-0.00088313036
77,0.006606051,0.005794613,0.0008114381
33,0.0057656253,0.006561447,-0.00079582166
49,0.0073997914,0.008194373,-0.0007945816
127,0.0069557973,0.0076941145,-0.00073831715
21,0.010850066,0.0101667605,0.0006833058
6,0.0053911926,0.006057117,-0.0006659245
47,0.0078422045,0.008506819,-0.00066461414
66,0.0067873644,0.0074515203,-0.00066415593
5,0.007949753,0.007358139,0.0005916138
44,0.008817803,0.009384994,-0.0005671913
35,0.0059822453,0.006515092,-0.0005328469
13,0.0070850346,0.0065544876,0.000530547
111,0.006980885,0.007508189,-0.00052730413
46,0.008359606,0.007884049,0.00047555752
70,0.0038694537,0.0043317806,-0.00046232692
29,0.007508356,0.007955182,-0.00044682622
18,0.006427593,0.006870855,-0.00044326205
52,0.0067833494,0.0071868487,-0.00040349923
89,0.007202657,0.0075998823,-0.00039722538
97,0.011875136,0.011500208,0.00037492812
24,0.0064522293,0.006770565,-0.00031833583
32,0.006074279,0.0063724574,-0.0002981783
10,0.005185918,0.0048987567,0.0002871612
14,0.007357087,0.007574911,-0.00021782424
17,0.005691962,0.0058109183,-0.000118956435
102,0.0067046825,0.0066032982,0.00010138424
68,0.0069782725,0.0070673465,-8.907402e-05
90,0.0070965504,0.0070269154,6.963499e-05
40,0.008903029,0.0089549385,-5.1909126e-05
27,0.0067431633,0.0067949113,-5.1748008e-05
36,0.0076379515,0.0076853945,-4.744297e-05
20,0.0077284067,0.007763212,-3.4805387e-05
108,0.008440669,0.008473894,-3.3224933e-05
69,0.0062980615,0.0063243397,-2.6278198e-05
95,0.0078715915,0.007895697,-2.4105422e-05
