prototype_id,mean_pos,mean_neg,diff_pos_minus_neg
103,0.012903715,0.0054424936,0.007461221
27,0.012724425,0.005605749,0.007118676
28,0.005783897,0.012021238,-0.006237341
13,0.011807165,0.005612413,0.006194752
59,0.012485487,0.006764124,0.0057213632
88,0.012414886,0.007558718,0.004856168
123,0.011779353,0.0069442648,0.0048350883
114,0.0050523747,0.009637162,-0.0045847874
58,0.0049196226,0.009437739,-0.0045181164
97,0.007825124,0.012303477,-0.004478353
61,0.014376676,0.009920858,0.004455818
105,0.008705031,0.013092252,-0.0043872213
121,0.004141334,0.008469721,-0.0043283873
19,0.010298595,0.005982109,0.004316486
62,0.0046879444,0.008987594,-0.00429965
15,0.010519312,0.006273136,0.0042461758
124,0.011993038,0.007962837,0.0040302007
118,0.013012675,0.009045709,0.0039669657
111,0.004196098,0.008064977,-0.0038688788
52,0.0039237705,0.007757807,-0.0038340366
4,0.0056201154,0.0094320765,-0.003811961
35,0.009544864,0.0058096442,0.00373522
67,0.003533215,0.007264124,-0.0037309092
116,0.012592024,0.008875955,0.0037160693
42,0.0041702855,0.007608449,-0.0034381635
57,0.0062919506,0.009547932,-0.0032559815
85,0.0067045307,0.009948902,-0.0032443712
14,0.01022841,0.007005147,0.0032232632
40,0.006302595,0.0094723655,-0.0031697704
44,0.006657197,0.009817883,-0.0031606862
102,0.009221971,0.006102125,0.0031198459
117,0.008143122,0.005025626,0.0031174961
22,0.009486131,0.0063737836,0.0031123478
110,0.010649238,0.007601316,0.0030479217
41,0.0103360275,0.007303689,0.0030323383
93,0.0032860641,0.006253761,-0.0029676966
113,0.0039380537,0.006794643,-0.0028565894
5,0.0051564164,0.007910271,-0.0027538547
69,0.008563511,0.0058739726,0.0026895385
73,0.010833417,0.00821396,0.0026194574
76,0.0043403534,0.006913807,-0.0025734534
125,0.0065360665,0.009070242,-0.0025341753
3,0.008072229,0.010574826,-0.002502597
98,0.008331599,0.0058941618,0.002437437
29,0.005939871,0.008269636,-0.002329765
72,0.0064594834,0.008759313,-0.0022998299
47,0.0065153628,0.008774456,-0.0022590929
9,0.0108063305,0.008594989,0.0022113416
74,0.009525127,0.011707634,-0.002182507
65,0.007172794,0.005054575,0.0021182192
122,0.008567627,0.006459095,0.0021085315
89,0.0057903198,0.007883003,-0.0020926832
45,0.008193993,0.010259722,-0.0020657293
43,0.006382223,0.008443288,-0.0020610644
106,0.013310885,0.011260468,0.0020504175
7,0.00955226,0.0075643943,0.0019878657
80,0.011279451,0.009303217,0.001976234
1,0.0056899167,0.0076093245,-0.0019194079
87,0.011150285,0.009300897,0.0018493878
0,0.00790678,0.0060785697,0.00182821
8,0.0036977478,0.0053685913,-0.0016708435
25,0.008833954,0.0071912333,0.0016427208
101,0.008172552,0.0065525416,0.0016200105
17,0.004462276,0.006056133,-0.0015938571
120,0.006960195,0.0085322475,-0.0015720525
94,0.007956918,0.006391086,0.0015658322
30,0.007904653,0.009446518,-0.0015418641
100,0.007753476,0.0062170606,0.0015364154
36,0.008943336,0.007426071,0.0015172651
119,0.0050203754,0.006533196,-0.0015128208
24,0.007923457,0.0064798,0.0014436566
81,0.009756785,0.01118409,-0.0014273049
55,0.008517059,0.007099946,0.0014171125
82,0.006404899,0.00776962,-0.001364721
51,0.007934114,0.006601833,0.0013322812
53,0.0042978153,0.0055996645,-0.0013018493
115,0.0054373103,0.0067391084,-0.001301798
99,0.010292639,0.009006681,0.0012859581
54,0.004922354,0.0061590257,-0.0012366716
84,0.007750611,0.008978515,-0.0012279041
12,0.010022079,0.011242647,-0.0012205681
56,0.006183744,0.0073836176,-0.0011998736
77,0.004938779,0.0061215637,-0.0011827848
79,0.008658277,0.007530956,0.0011273208
18,0.005859153,0.0069864155,-0.0011272626
96,0.008641716,0.0075235534,0.0011181626
127,0.006644693,0.0077601774,-0.0011154842
38,0.010295814,0.009187254,0.0011085598
10,0.0040257885,0.005127833,-0.0011020447
26,0.009152587,0.008052497,0.0011000894
46,0.0070734695,0.008137113,-0.001063644
16,0.006900891,0.005846016,0.0010548751
104,0.009173859,0.010124739,-0.00095088035
112,0.005463206,0.0064115734,-0.0009483672
92,0.009042208,0.009958726,-0.0009165183
83,0.0054972395,0.0063448627,-0.0008476232
107,0.005374174,0.0061981753,-0.00082400115
86,0.008280999,0.009095556,-0.0008145571
71,0.011380061,0.012154084,-0.0007740231
11,0.008298902,0.0075279786,0.0007709232
37,0.0077511687,0.006987512,0.0007636566
70,0.0036289857,0.004382228,-0.0007532423
60,0.0071924157,0.007908497,-0.00071608135
66,0.007918227,0.0072304066,0.00068782084
91,0.008126129,0.008808296,-0.0006821668
78,0.010080517,0.009408479,0.00067203864
64,0.008210856,0.00887739,-0.0006665345
49,0.007513935,0.008176189,-0.0006622537
34,0.0059863916,0.0066179815,-0.0006315899
32,0.0058014547,0.006428406,-0.00062695146
21,0.009764152,0.010378826,-0.00061467476
63,0.008614162,0.008001463,0.0006126994
126,0.00669127,0.006081386,0.00060988404
109,0.009195625,0.008613379,0.0005822461
31,0.006151843,0.005585265,0.000566578
48,0.006636604,0.0071744667,-0.00053786254
23,0.009075789,0.00855191,0.0005238792
39,0.008649035,0.00813903,0.0005100053
50,0.008066629,0.007578202,0.000488427
90,0.0066616638,0.0071130036,-0.00045133987
20,0.008097157,0.0076900795,0.00040707737
108,0.008145793,0.008532722,-0.0003869282
33,0.006702108,0.006379737,0.0003223708
2,0.0066011986,0.006352195,0.00024900353
75,0.0074499734,0.0072060805,0.0002438929
95,0.008046358,0.0078610815,0.00018527638
6,0.0060043274,0.00593897,6.5357424e-05
68,0.007053409,0.0070529105,4.982576e-07
